ID,Class,Usage
0,0,Private
1,0,Private
2,0,Private
3,0,Private
4,0,Private
5,0,Private
6,0,Public
7,0,Public
8,0,Private
9,0,Private
10,0,Private
11,0,Private
12,0,Private
13,0,Private
14,0,Public
15,0,Private
16,0,Public
17,0,Private
18,0,Private
19,0,Private
20,0,Public
21,0,Public
22,0,Private
23,0,Private
24,0,Private
25,0,Public
26,0,Private
27,0,Public
28,0,Private
29,0,Public
30,0,Private
31,0,Private
32,0,Private
33,0,Private
34,0,Private
35,0,Private
36,0,Private
37,0,Private
38,0,Private
39,0,Public
40,0,Public
41,0,Public
42,0,Public
43,0,Private
44,0,Private
45,0,Private
46,0,Public
47,0,Public
48,0,Public
49,0,Private
50,0,Private
51,0,Public
52,0,Public
53,0,Public
54,0,Public
55,0,Public
56,0,Private
57,0,Public
58,0,Public
59,0,Public
60,0,Public
61,0,Private
62,0,Private
63,0,Private
64,0,Public
65,0,Private
66,0,Private
67,0,Private
68,0,Private
69,0,Public
70,0,Private
71,0,Public
72,0,Public
73,0,Public
74,0,Private
75,0,Public
76,0,Public
77,0,Public
78,0,Public
79,0,Public
80,0,Public
81,0,Private
82,0,Private
83,0,Public
84,0,Public
85,0,Private
86,0,Private
87,0,Public
88,0,Public
89,0,Private
90,0,Private
91,0,Public
92,0,Public
93,0,Private
94,0,Private
95,0,Public
96,0,Public
97,0,Public
98,0,Public
99,0,Public
100,0,Private
101,0,Public
102,0,Private
103,0,Private
104,0,Private
105,0,Private
106,0,Public
107,0,Private
108,0,Private
109,0,Private
110,0,Private
111,0,Private
112,0,Public
113,0,Public
114,0,Private
115,0,Public
116,0,Public
117,0,Public
118,0,Private
119,0,Public
120,0,Public
121,0,Public
122,0,Public
123,0,Private
124,0,Public
125,0,Public
126,0,Private
127,0,Public
128,0,Private
129,0,Private
130,0,Private
131,0,Private
132,0,Private
133,0,Public
134,0,Private
135,0,Private
136,0,Public
137,0,Public
138,0,Private
139,0,Public
140,0,Private
141,0,Public
142,0,Public
143,0,Public
144,0,Private
145,0,Private
146,0,Public
147,0,Private
148,0,Public
149,0,Private
150,0,Private
151,0,Private
152,0,Public
153,0,Public
154,0,Private
155,0,Public
156,0,Public
157,0,Public
158,0,Private
159,0,Public
160,0,Public
161,0,Private
162,0,Private
163,0,Private
164,0,Private
165,0,Private
166,0,Private
167,0,Public
168,0,Private
169,0,Private
170,0,Private
171,0,Private
172,0,Private
173,0,Public
174,0,Private
175,0,Private
176,0,Private
177,0,Public
178,0,Private
179,0,Public
180,0,Public
181,0,Public
182,0,Private
183,0,Public
184,0,Private
185,0,Public
186,0,Private
187,0,Private
188,0,Public
189,0,Private
190,0,Private
191,0,Private
192,0,Public
193,0,Public
194,0,Public
195,0,Public
196,0,Public
197,0,Public
198,0,Public
199,0,Private
200,0,Public
201,0,Private
202,0,Private
203,0,Public
204,0,Private
205,0,Public
206,0,Private
207,0,Public
208,0,Public
209,0,Public
210,0,Private
211,0,Public
212,0,Private
213,0,Private
214,0,Private
215,0,Private
216,0,Private
217,0,Public
218,0,Private
219,0,Public
220,0,Public
221,0,Public
222,0,Public
223,0,Private
224,0,Public
225,0,Public
226,0,Public
227,0,Public
228,0,Public
229,0,Private
230,0,Private
231,0,Public
232,0,Public
233,0,Public
234,0,Public
235,0,Private
236,0,Public
237,0,Private
238,0,Public
239,0,Public
240,0,Public
241,0,Private
242,0,Public
243,0,Private
244,0,Private
245,0,Private
246,0,Public
247,0,Public
248,0,Public
249,0,Private
250,0,Public
251,0,Private
252,0,Private
253,0,Public
254,0,Private
255,0,Public
256,0,Private
257,0,Public
258,0,Public
259,0,Public
260,0,Public
261,0,Private
262,0,Private
263,0,Private
264,0,Public
265,0,Private
266,0,Private
267,0,Private
268,0,Public
269,0,Public
270,0,Public
271,0,Private
272,0,Private
273,0,Private
274,0,Private
275,0,Public
276,0,Public
277,0,Public
278,0,Private
279,0,Private
280,0,Private
281,0,Private
282,0,Public
283,0,Private
284,0,Private
285,0,Public
286,0,Public
287,0,Public
288,0,Public
289,0,Public
290,0,Public
291,0,Public
292,0,Private
293,0,Private
294,0,Public
295,0,Public
296,0,Private
297,0,Private
298,0,Private
299,0,Public
300,0,Private
301,0,Public
302,0,Public
303,0,Private
304,0,Private
305,0,Private
306,0,Public
307,0,Private
308,0,Private
309,0,Private
310,0,Private
311,0,Public
312,0,Public
313,0,Private
314,0,Private
315,0,Public
316,0,Public
317,0,Private
318,0,Private
319,0,Public
320,0,Private
321,0,Private
322,0,Public
323,0,Public
324,0,Private
325,0,Private
326,0,Private
327,0,Private
328,0,Public
329,0,Public
330,0,Private
331,0,Private
332,0,Private
333,0,Public
334,0,Public
335,0,Public
336,0,Public
337,0,Private
338,0,Public
339,0,Private
340,0,Public
341,0,Private
342,0,Public
343,0,Public
344,0,Private
345,0,Private
346,0,Public
347,0,Private
348,0,Private
349,0,Public
350,0,Private
351,0,Private
352,0,Private
353,0,Private
354,0,Private
355,0,Public
356,0,Public
357,0,Private
358,0,Public
359,0,Private
360,0,Public
361,0,Public
362,0,Public
363,0,Private
364,0,Public
365,0,Private
366,0,Public
367,0,Private
368,0,Private
369,0,Private
370,0,Public
371,0,Public
372,0,Public
373,0,Public
374,0,Public
375,0,Public
376,0,Public
377,0,Public
378,0,Private
379,0,Public
380,0,Public
381,0,Public
382,0,Private
383,0,Private
384,0,Public
385,0,Private
386,0,Public
387,0,Private
388,0,Private
389,0,Private
390,0,Public
391,0,Public
392,0,Public
393,0,Public
394,0,Private
395,0,Public
396,0,Private
397,0,Public
398,0,Private
399,0,Public
400,0,Public
